time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.240269,0.0146,-0.0027,-0.0178,0.023
4.254727,0.0241,0.0069,-0.0177,0.031
4.260325,0.0044,0.0163,-0.0079,0.019
4.270307,0.0044,0.0254,-0.0079,0.027
4.280190,0.0140,0.0250,-0.0177,0.034
4.290393,-0.0148,0.0054,0.0018,0.016
4.300099,-0.0339,0.0345,0.0312,0.058
4.310262,-0.0044,0.0338,-0.0177,0.038
4.320286,-0.0042,-0.0053,-0.0079,0.010
4.330375,0.0054,0.0042,0.0116,0.013
4.340420,-0.0041,0.0137,0.0116,0.018
4.354655,0.0057,-0.0057,0.0116,0.014
4.360311,0.0057,-0.0057,0.0214,0.023
4.370260,0.0058,-0.0058,-0.0275,0.029
4.380274,0.0057,-0.0058,-0.0079,0.011
4.390256,-0.0132,0.0037,0.0018,0.014
4.400647,0.0257,-0.0157,-0.0275,0.041
4.410444,0.0158,-0.0155,0.0312,0.038
4.420352,0.0155,-0.0152,0.0116,0.025
4.430372,-0.0039,-0.0344,0.0214,0.041
4.440275,0.0058,-0.0147,0.0312,0.035
4.454957,0.0437,0.0142,0.0019,0.046
4.460406,-0.0149,-0.0340,0.0116,0.039
4.470492,-0.0334,0.0146,0.0018,0.036
4.480166,0.0152,0.0047,0.0116,0.020
4.490208,-0.0235,-0.0049,0.0214,0.032
4.500343,-0.0133,0.0144,-0.0079,0.021
4.510361,0.0158,0.0238,-0.0177,0.034
4.520363,0.0060,-0.0054,-0.0373,0.038
4.530405,0.0059,0.0140,-0.0275,0.031
4.540246,0.0252,0.0042,-0.0177,0.031
4.555265,0.0055,0.0042,0.0313,0.032
4.560548,-0.0042,0.0137,0.0116,0.018
4.570255,0.0248,0.0328,0.0117,0.043
4.580152,-0.0044,0.0224,0.0019,0.023
4.590237,0.0246,-0.0069,0.0215,0.033
4.600241,0.0049,0.0028,0.0117,0.013
4.610190,0.0146,-0.0456,0.0313,0.057
4.620126,0.0238,-0.0253,0.0019,0.035
4.630075,-0.0055,-0.0057,-0.0274,0.029
4.640166,-0.0153,0.0039,-0.0274,0.032
4.652766,0.0236,0.0330,0.0215,0.046
4.660330,-0.0055,0.0227,0.0019,0.023
4.670300,0.0139,0.0223,0.0117,0.029
4.680113,0.0040,-0.0164,0.0019,0.017
4.690287,0.0137,-0.0066,-0.0274,0.031
4.700123,0.0134,-0.0163,-0.0274,0.035
4.710294,0.0035,0.0031,0.0019,0.005
4.720258,-0.0061,-0.0064,0.0117,0.015
4.730248,0.0326,-0.0160,0.0314,0.048
4.740250,0.0032,0.0132,0.0216,0.026
4.755092,0.0221,0.0130,0.0020,0.026
4.760096,-0.0071,0.0034,-0.0077,0.011
4.770352,0.0218,0.0033,-0.0077,0.023
4.780079,0.0023,0.0128,-0.0175,0.022
4.790264,0.0024,-0.0165,-0.0371,0.041
4.800606,-0.0167,-0.0064,0.0118,0.021
4.810310,-0.0165,0.0032,0.0216,0.027
4.820191,0.0223,0.0223,0.0118,0.034
4.830663,-0.0258,0.0120,0.0020,0.029
4.840310,-0.0061,0.0119,-0.0273,0.030
4.853355,-0.0155,0.0118,-0.0176,0.026
4.860300,-0.0246,0.0212,0.0019,0.033
4.870205,-0.0144,-0.0271,0.0117,0.033
4.880132,-0.0237,-0.0171,0.0117,0.031
4.890241,-0.0041,-0.0169,0.0215,0.028
4.900590,0.0249,-0.0071,-0.0274,0.038
4.910334,0.0244,-0.0166,-0.0078,0.031
